TPCH_QUERY4_TOP5_FROM10, FDP_Plus, Precision=1.0, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP6_FROM10, Intersection, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP6_FROM10, Union, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP6_FROM10, FD, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP6_FROM10, FDP_Plus, Precision=1.0, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP7_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP7_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP7_FROM10, FD, Precision=0.6666666666666666, Recall=0.6666666666666664
TPCH_QUERY4_TOP7_FROM10, FDP_Plus, Precision=0.5000000000000001, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP8_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP8_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP8_FROM10, FD, Precision=0.3125, Recall=0.6666666666666664
TPCH_QUERY4_TOP8_FROM10, FDP_Plus, Precision=0.25, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP9_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP9_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP9_FROM10, FD, Precision=0.3125, Recall=0.6666666666666664
TPCH_QUERY4_TOP9_FROM10, FDP_Plus, Precision=0.25, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP10_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP10_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY4_TOP10_FROM10, FD, Precision=0.3125, Recall=0.6666666666666664
TPCH_QUERY4_TOP10_FROM10, FDP_Plus, Precision=0.25, Recall=0.6666666666666664
,,,
TPCH_QUERY5_TOP2_FROM10, Intersection, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP2_FROM10, Union, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP2_FROM10, FD, Precision=1.0, Recall=1.0
TPCH_QUERY5_TOP2_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
TPCH_QUERY5_TOP3_FROM10, Intersection, Precision=1.0, Recall=1.0
